country,code,continent,population,population_density,median_age,gdp_per_capita
Botswana,BWA,Africa,2439843.0,4.305124282836914,22.604000091552734,15518.6513671875
Brazil,BRA,South America,210306358.0,25.161861419677734,33.50600051879883,15093.46484375
British Virgin Islands,VGB,North America,38298.0,255.32000732421875,37.119998931884766,
Brunei,BRN,Asia,455326.0,86.39962005615234,31.275999069213867,58669.90234375
Bulgaria,BGR,Europe,6825817.0,62.87598419189453,44.15399932861328,26961.291015625
Burkina Faso,BFA,Africa,22508995.0,82.26972198486328,17.041000366210938,2158.8583984375
Burundi,BDI,Africa,13321056.0,518.7327270507812,15.67199993133545,708.1782836914062
Cambodia,KHM,Asia,17201662.0,97.44879913330078,25.59600067138672,4533.8642578125
Cameroon,CMR,Africa,27632723.0,58.45597457885742,17.62299919128418,3723.5322265625
Canada,CAN,North America,38821209.0,4.417172908782959,40.25299835205078,49296.37890625
Cape Verde,CPV,Africa,519694.0,128.95632934570312,27.32200050354004,7379.24755859375
Cayman Islands,CYM,North America,71558.0,298.1583251953125,37.499000549316406,71353.890625
Central African Republic,CAF,Africa,5097987.0,8.1832275390625,14.29800033569336,823.982177734375
Chad,TCD,Africa,18455270.0,14.65634536743164,15.10200023651123,1412.6707763671875
Chile,CHL,South America,19552984.0,26.297433853149418,35.5260009765625,25886.12109375
China,CHN,Asia,1425179509.0,151.80523681640625,38.53400039672851,18187.841796875
Colombia,COL,South America,51737891.0,46.631717681884766,31.180999755859375,15616.751953125
Comoros,COM,Africa,834135.0,448.21868896484375,20.10199928283691,3245.768798828125
Congo,COG,Africa,6035057.0,17.67220115661621,18.20199966430664,3670.19970703125
Cook Islands,COK,Oceania,14706.0,61.275001525878906,34.10900115966797,
Costa Rica,CRI,North America,5081715.0,99.52438354492188,33.5359992980957,22070.921875
Cote d'Ivoire,CIV,Africa,30394949.0,95.58160400390624,17.992000579833984,5537.36962890625
Croatia,HRV,Europe,3906988.0,69.81751251220703,44.61100006103515,34302.34765625
Cuba,CUB,North America,11059772.0,106.54886627197266,41.505001068115234,
Curacao,CUW,North America,185305.0,417.3536071777344,37.95399856567383,23114.951171875
Cyprus,CYP,Europe,1331324.0,144.0826873779297,37.3390007019043,44996.31640625
Czechia,CZE,Europe,10673169.0,138.27708435058594,42.64500045776367,41052.34765625
Democratic Republic of Congo,COD,Africa,102396919.0,45.167476654052734,15.765999794006348,1132.6541748046875
Denmark,DNK,Europe,5902846.0,147.57115173339844,41.21599960327149,59935.12109375
Djibouti,DJI,Africa,1137052.0,49.05315017700195,24.084999084472656,4989.40869140625
Dominica,DMA,North America,66801.0,89.06800079345703,35.29499816894531,11463.59765625
Dominican Republic,DOM,North America,11230686.0,236.2812957763672,27.316999435424805,19338.015625
East Timor,TLS,Asia,1369250.0,92.08137512207033,20.63999938964844,3943.092529296875
Ecuador,ECU,South America,17823857.0,71.7662124633789,27.975000381469727,10859.2177734375
Egypt,EGY,Africa,112618191.0,113.13294219970705,23.812999725341797,12780.759765625
El Salvador,SLV,North America,6280269.0,303.1017761230469,26.510000228881836,9396.013671875
Equatorial Guinea,GNQ,Africa,1803496.0,64.29576110839844,21.016000747680664,14918.296875
Eritrea,ERI,Africa,3409407.0,28.16741371154785,18.405000686645508,
Estonia,EST,Europe,1350038.0,31.579835891723633,41.625,37711.8203125
Eswatini,SWZ,Africa,1218873.0,70.86470794677734,21.76799964904785,9058.5830078125
Ethiopia,ETH,Africa,125384244.0,111.09998321533205,18.527999877929688,2381.165771484375
Falkland Islands,FLK,South America,3475.0,0.2855381965637207,40.935001373291016,
Faroe Islands,FRO,Europe,53990.0,39.40876007080078,37.53799819946289,
Fiji,FJI,Oceania,919378.0,50.32172775268555,27.475000381469727,12388.1083984375
Finland,FIN,Europe,5569254.0,18.32306671142578,42.5260009765625,49275.15234375
France,FRA,Europe,66277365.0,121.0419464111328,41.56700134277344,45904.41015625
French Guiana,GUF,South America,298280.0,3.601980447769165,25.23500061035156,
French Polynesia,PYF,Oceania,280335.0,80.76490783691406,34.15999984741211,
Gabon,GAB,Africa,2430702.0,9.433391571044922,21.475000381469727,13939.787109375
Gambia,GMB,Africa,2636423.0,260.51611328125,17.985000610351562,2113.61474609375
Georgia,GEO,Asia,3794728.0,54.60826110839844,36.63399887084961,17078.341796875
Germany,DEU,Europe,84086176.0,240.66566467285156,45.02399826049805,53969.625
Ghana,GHA,Africa,33149102.0,145.689208984375,20.736000061035156,5480.330078125
Gibraltar,GIB,Europe,37590.0,3759.0,38.948001861572266,
Greece,GRC,Europe,10412428.0,80.77911376953125,45.39099884033203,31704.42578125
Greenland,GRL,North America,55969.0,0.1363600939512252,33.92399978637695,
Grenada,GRD,North America,116876.0,343.7529296875,32.88600158691406,14462.9365234375
Guadeloupe,GLP,North America,384653.0,237.44012451171875,45.862998962402344,
Guam,GUM,Oceania,165135.0,305.8055419921875,30.979999542236328,
Guatemala,GTM,North America,17847828.0,166.55308532714844,22.243999481201172,9162.052734375
